CHEMBL_ID,SMILES,IC50_nM,Relation,Assay_ID,Reference_ID,pChEMBL
CHEMBL87170,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccccc4)cc3)sc2cc1OC,4.6,=,CHEMBL644831,CHEMBL1135325,8.34
CHEMBL87273,COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,8.0,=,CHEMBL644119,CHEMBL1135324,8.1
CHEMBL87320,COCC[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1,53.0,=,CHEMBL644831,CHEMBL1135325,7.28
CHEMBL87344,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)CCO3)CC1,17.0,=,CHEMBL644119,CHEMBL1135324,7.77
CHEMBL87441,CCOCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,7.0,=,CHEMBL644831,CHEMBL1135325,8.15
CHEMBL87649,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccsc4)cc3)sc2cc1OC,6.0,=,CHEMBL644831,CHEMBL1135325,8.22
CHEMBL87823,COc1ccc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)ccc2c1,50.0,=,CHEMBL644119,CHEMBL1135324,7.3
CHEMBL87849,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc(F)cc4)cc3)sc2cc1OC,2.6,=,CHEMBL644831,CHEMBL1135325,8.59
CHEMBL87937,COCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,30.0,=,CHEMBL644831,CHEMBL1135325,7.52
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,19.0,=,CHEMBL4048085,CHEMBL4043275,7.72
CHEMBL89354,CC(C)(C)c1cccc(C(=O)C(F)(F)F)c1,5.0,=,CHEMBL3626447,CHEMBL3621126,8.3
CHEMBL9113,Cc1ccccc1,5.248,=,CHEMBL648291,CHEMBL1126157,8.28
CHEMBL91291,Cc1cc2onc(CCC3CCN(Cc4ccccc4)CC3)c2cc1C,5.754,=,CHEMBL1664219,CHEMBL1649350,8.24
CHEMBL91432,CCCc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1,61.0,=,CHEMBL1119333,CHEMBL1155460,7.21
CHEMBL92460,c1ccc(CN2CCC(CCc3noc4ccccc34)CC2)cc1,54.95,=,CHEMBL641020,CHEMBL1129655,7.26
CHEMBL92463,Oc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,25.7,=,CHEMBL1664219,CHEMBL1649350,7.59
CHEMBL92663,NC(=O)c1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,0.8,=,CHEMBL3090659,CHEMBL3085748,9.1
CHEMBL92736,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,2.799,=,CHEMBL641020,CHEMBL1129655,8.55
CHEMBL92955,O=S(=O)(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1,14.0,=,CHEMBL644105,CHEMBL1127437,7.85
CHEMBL93123,O=C(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1,9.333,=,CHEMBL1664219,CHEMBL1649350,8.03
CHEMBL93241,c1ccc(CN2CCC(CCCc3noc4ccccc34)CC2)cc1,9.0,=,CHEMBL832763,CHEMBL1138798,8.05
CHEMBL93619,COc1cccc2c(CCC3CCN(Cc4ccccc4)CC3)noc12,7.079,=,CHEMBL1664219,CHEMBL1649350,8.15
CHEMBL93936,c1ccc(CN2CCC(CCc3noc4cc(N5CCOCC5)ccc34)CC2)cc1,0.7998,=,CHEMBL641020,CHEMBL1129655,9.1
CHEMBL94186,COc1ccc2onc(CCC3CCN(Cc4ccccc4)CC3)c2c1,7.194,=,CHEMBL641020,CHEMBL1129655,8.14
CHEMBL95020,O=C1Cc2c(ccc3c(CCC4CCN(Cc5ccccc5)CC4)noc23)N1,3.6,=,CHEMBL644837,CHEMBL1128477,8.44
